name,value,year,lastValue,rank
Honda,22696,2017,22637,20
Gillette,22689,2008,22461.6,13
H&M,22681,2016,22635.1,20
Toyota,22673,2004,22484.1,8
SAP,22635,2017,22500.8,21
Louis Vuitton,22552,2014,22786.1,19
BMW,22322,2010,22256.9,14
Louis Vuitton,22250,2015,22280.2,20
H&M,22222,2015,22108.1,21
Gillette,22218,2015,22280.7,22
HP,22197,2007,22023.1,11
Oracle,22126,2012,21639.6,18
Honda,22106,2016,22192.9,21
Cisco,22030,2009,21957.6,13
Facebook,22029,2015,21261,23
American Express,21940,2008,21828.7,14
Louis Vuitton,21860,2010,21786,15
Mercedes-Benz,21795,2006,21616.1,9
Mercedes-Benz,21728,2001,21665.6,9
Honda,21673,2014,21354.7,20
BMW,21671,2009,21833.7,14
BMW,21612,2007,21412.5,12
Louis Vuitton,21602,2008,21473.9,15
Citi,21458,2006,21308.9,10
Mercedes-Benz,21371,2003,21334.9,8
Mercedes-Benz,21331,2004,21335,9
Cisco,21306,2008,21085.3,16
SAP,21293,2016,21040.5,22
Apple,21143,2010,20572,16
Louis Vuitton,21120,2009,21168.2,15
Mercedes-Benz,21104,2000,21104,9
H&M,21083,2014,20791.5,21
Mercedes-Benz,21010,2002,21081.8,8
HP,20978,2004,20866.2,10
American Express,20827,2007,20708.4,13
Pepsi,20798,2018,20767.3,22
Toyota,20784,2003,20650.4,9
HP,20572,2000,20572,10
Pepsi,20491,2017,20468.4,22
H&M,20488,2017,20707.3,23
HP,20458,2006,20298.8,11
Gillette,20415,2007,20331.4,14
Ford,20403,2002,21371.9,9
Louis Vuitton,20321,2007,20049.5,15
Pepsi,20265,2016,20200.7,23
Citi,20174,2008,20500.8,17
Cisco,20067,2000,20067,11
Mercedes-Benz,20006,2005,20138.5,9
Chanel,20005,2018,NA,23
Citi,19971,2004,19831,11
Citi,19967,2005,19967.4,10
Gillette,19950,2016,20176.8,24
Nike,19875,2014,19596,22
HP,19860,2003,19551.6,10
American Express,19641,2006,19532.8,12
Pepsi,19622,2015,19571.7,24
BMW,19617,2006,19367.9,13
Gillette,19579,2006,19374.5,14
American Express,19510,2014,19323.6,23
Samsung,19491,2010,19293.7,17
Toyota,19448,2002,19361,10
Honda,19431,2011,19338.5,18
American Express,19139,2018,19003.8,24
Pepsi,19119,2014,18996.3,24
Cisco,19099,2007,18942.3,16
Honda,19079,2008,18970.9,18
Citi,19005,2001,18985.4,10
American Express,18922,2015,18980.8,25
HP,18866,2005,19077.2,11
Toyota,18823,2000,18823,12
Citi,18809,2000,18809,13
SAP,18768,2015,18625.2,26
Amazon,18625,2012,18038.3,19
Toyota,18578,2001,18602.5,11
Zara,18573,2017,18392.3,24
Citi,18571,2003,18520.5,11
American Express,18559,2005,18471.4,12
Honda,18506,2010,18435.7,18
Honda,18490,2013,18369,20
IKEA,18472,2017,18408.2,25
American Express,18358,2016,18414.4,25
Gillette,18200,2017,18375,26
H&M,18168,2013,18008.3,21
Citi,18066,2002,18159.9,11
Honda,17998,2007,17903.1,17
HP,17983,2001,18241.9,12
Pepsi,17892,2013,17762.2,22
Google,17837,2007,17290.9,18
IKEA,17834,2016,17704.7,26
Honda,17803,2009,17930.6,16
American Express,17787,2017,17844.1,27
Zara,17712,2018,17798.1,25
Samsung,17689,2008,17605.4,19
American Express,17683,2004,17598,12
American Express,17646,2013,17451.6,23
Louis Vuitton,17606,2006,17453.1,15
J.P. Morgan,17567,2018,17385.2,26
Gillette,17534,2005,17452.9,13
Cisco,17532,2006,17438,16
Samsung,17518,2009,17535.1,17
IKEA,17458,2018,17559.4,27
Gillette,17358,2000,17358,14
SAP,17340,2014,17273.6,25
Honda,17280,2012,17495.1,20
Oracle,17262,2011,17023.9,19
Cisco,17209,2001,17494.8,13
BMW,17126,2005,17002,14
Nike,17085,2013,16889.1,24
Ford,17066,2003,17399.7,12
Honda,17049,2006,16922.9,17
American Express,16919,2001,16839.3,14
Gillette,16864,2018,16997.6,28
Samsung,16853,2007,16784.6,19
UPS,16849,2018,16802.8,29
American Express,16833,2003,16778.4,13
H&M,16826,2018,17192.2,30
HP,16776,2002,16896.7,12
Zara,16766,2016,16492.5,27
Gillette,16723,2004,16648.5,13
SAP,16676,2013,16572.5,25
Pampers,16617,2018,16596.9,31
Pepsi,16594,2012,16393.6,21
Cisco,16592,2005,16527.6,15
H&M,16571,2012,16559.8,22
IKEA,16541,2015,16475.4,27
H&M,16459,2011,16426.7,20
Pampers,16416,2017,16387.8,28
Sony,16409,2000,16409,15
UPS,16387,2017,16281.6,29
Herm??s,16372,2018,16155.8,32
American Express,16287,2002,16350.2,13
Cisco,16222,2002,16320.7,14
Samsung,16169,2006,16047.7,18
H&M,16136,2010,16059.9,19
Pampers,16134,2016,16047.3,28
American Express,16122,2000,16122,16
Louis Vuitton,16077,2005,15129.5,16
Gillette,15978,2003,15876.1,14
Cisco,15948,2004,15932.1,14
BMW,15886,2004,15808,15
IKEA,15885,2014,15678.3,26
Cisco,15789,2003,15832.3,15
